mouseNum,sex,pgm,chitau,ontau,tauoff,phase,amp,act,alpha,sdon,offsd,onoff,slop,D1Mit3,D1Mit22,D1Mit44,D1Mit33,D1Mit17,D2Mit1,D2Mit365,D2Mit56,D2Mit43,D2Mit48,D2Mit230,D3Mit131,D3Mit6,D3Mit11,D3Mit17,D3Mit162,D3Mit19,D4Mit1,D4Mit105,D4Mit108,D4Mit53,D4Mit139,D4Mit178,D4Mit27,D4Mit31,D4Mit203,D4Mit131,D5Mit73,D5Mit11,D5Mit135,D5Mit309,D5Mit398,D5Mit188,D5Mit95,D5Mit30,D5Mit98,D5Mit223,D6Mit1,D6Mit74,D6Mit19,D6Mit39,D6Mit15,D7Mit152,D7Mit25,D7Mit30,D7Mit68,D7Mit46,D8Mit58,D8Mit4,D8Mit25,D8Mit84,D8Mit47,D8Mit200,D8Mit13,D8Mit14,D8Mit42,D9Mit2,D9Mit4,D9Mit11,D9Mit37,D10NDs1,D10Mit51,D10Mit86,D10Mit170,D10Mit31,D10Mit10,D10Mit14,D10Mit233,D10Mit264,D11Mit2,D11Mit5,D11Mit59,D11Mit168,D12Mit81,D12Mit46,D12Mit236,D12Mit251,D12Mit71,D12Mit74,D12Mit5,D12Mit205,D12Mit260,D12Mit7,D12Mit195,D12Mit122,D12Mit150,vip,D12Mit263,D12Mit18,D13Mit13,D13Mit30,D13Mit53,D13Mit151,D14Mit14,D14Mit28,D14Mit7,D14Mit9,D14Mit34,D14Mit228,D15Mit53,D15Mit28,D15Mit35,D16Mit9,D16Mit4,D16Mit27,D16Mit106,D17Mit18,D17Mit6,D17Mit39,D18Mit18,D18Mit17,D18Mit40,D18Mit4,D19Mit93,D19Mit68,D19Mit28,D19Mit40,D19Mit46,D19Mit11,D19Mit1,D19Mit71,DXMit27,DXMit22,DXMit79,DXMit20
82,1,0,23.7,23.9,23.74,-3.3,13.99,11809,14.04,0.88,0.57,1.544,1,B,B,B,H,H,B,H,H,A,A,A,H,H,B,A,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,B,H,-,H,H,H,H,H,B,H,H,A,A,A,A,A,A,A,H,A,H,H,H,H,H,H,H,H,-,-,H,A,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,A,A,H,H,H,H,B,H,H,H,A,B,B,H,H,H,H,H,H,H,H,B,B,B,A,A
83,1,0,-,23.96,23.89,-6.36,0.07,1670,16.45,1.11,1.08,1.028,3,A,A,A,H,B,B,H,H,H,A,A,H,H,H,A,H,H,H,A,A,A,A,A,A,A,A,A,B,H,H,H,A,H,H,H,H,H,B,H,B,B,-,A,A,A,H,A,A,H,H,A,-,B,H,H,H,H,H,B,H,B,H,H,H,H,H,H,H,H,H,A,A,A,A,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,B,H,H,B,H,H,H,A,H,H,B,A,A,B,H,A,H,H,B,H,B,B,B,B,B,B,B,B,B,A
84,0,0,23.6,23.61,23.59,0.68,16.69,10516,8.76,0.19,0.99,0.192,0,H,H,H,H,A,-,B,H,A,H,H,-,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,-,H,H,H,B,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,B,B,H,A,B,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,A,B,B,H,H,H,H,H,H,H,B,H,H,B,B,B,B,H,H,H,B,B,B,B,B,H,H,H,H
85,0,0,22.88,22.96,23.18,-6.36,19.11,29495,9.26,0.6,2.55,0.235,1,A,H,A,H,H,H,B,B,B,B,H,A,A,H,A,A,A,A,A,A,A,A,A,H,H,H,H,A,A,H,H,H,H,H,H,H,B,B,B,B,B,-,H,H,A,H,H,H,H,B,B,-,B,H,H,H,B,H,B,H,B,H,H,A,H,H,B,B,B,H,B,B,B,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,B,B,B,B,B,B,H,A,H,H,H,A,H,A,A,H,H,H,B,B,B,A,H,H,B,B,B,H,H,H,H,H,H,H,H,H
86,0,0,23.37,23.38,23.26,-1.7,12.1,30892,15.91,0.75,3.35,0.224,1,B,B,B,B,H,H,A,H,H,H,B,B,B,B,H,H,H,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,H,H,H,B,-,H,H,H,B,B,A,A,H,B,-,B,H,B,B,A,A,A,A,H,H,H,A,A,A,B,A,A,H,H,B,A,A,A,A,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,A,A,A,A,H,H,A,H,A,A,A,A,A,A,H,H,H,H,H,B,H,H,H,H,H,A,A,A,A,H,H,H,A,A
87,0,0,23.12,23.02,22.86,-1.14,15.37,35770,13.12,0.48,1.67,0.287,0,H,A,H,A,A,B,H,H,H,B,H,H,H,H,B,B,B,B,B,H,H,H,H,A,A,A,A,B,H,H,H,H,H,B,B,B,B,A,A,A,H,-,H,H,B,B,H,B,H,H,H,A,A,A,A,A,-,A,A,H,B,H,H,H,H,B,B,B,B,B,H,A,B,A,A,A,A,A,A,H,H,H,B,B,-,B,B,B,B,H,H,B,B,A,A,H,H,A,H,A,A,H,H,H,H,H,H,H,A,H,H,H,H,B,B,H,H,H,H,H,H,A,A,A,A
88,0,0,23.35,23.37,23.27,-2.27,13.44,32554,12.44,0.53,0.63,0.841,0,B,B,B,B,B,H,H,H,H,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,A,H,H,H,H,A,A,A,A,A,H,H,H,A,-,B,H,B,B,H,B,H,H,H,-,H,H,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,A,H,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,H,B,H,B,H,H,H,A,A,A,B,H,H,A,H,H,H,H,H,H,A,A,H,H,H,H
89,0,0,23.28,23.3,23.23,-2.16,19.19,34641,11.52,0.85,1.32,0.644,0,B,A,B,H,H,H,H,H,H,H,H,H,A,B,B,B,B,A,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,B,H,H,H,H,-,H,H,H,B,B,H,H,H,H,-,H,H,H,B,H,H,A,H,B,H,H,A,H,H,H,H,H,H,-,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,B,H,H,A,A,A,H,H,-,B,H,H,A,H,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H
90,1,0,23.53,23.51,23.65,-0.45,14.85,30385,15.82,0.3,0.3,1,0,A,A,A,H,B,H,H,H,H,H,B,H,B,B,H,H,H,H,H,A,A,A,A,A,A,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,-,H,H,H,A,A,B,H,B,B,-,A,A,A,A,A,H,A,A,A,A,H,H,H,H,A,A,H,H,H,H,B,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,H,A,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,B,B,B,B,B,B,H,H,A,A,B,B
91,1,0,23.38,23.46,23.29,0.23,12.15,31094,15.49,0.73,1.37,0.533,0,H,H,H,B,B,H,A,A,A,A,A,H,H,B,B,B,B,H,H,H,H,H,H,A,H,H,H,H,H,A,A,A,-,H,H,H,H,H,H,A,H,-,B,H,H,H,H,H,B,H,H,-,H,H,H,H,H,H,H,H,A,A,A,A,H,A,H,A,A,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,H,H,H,H,H,H,H,A,H,H,H,H,H,H,B,H,A,A,H,H,H,H,H,H,B,B,A,A,A,A
92,1,0,23.23,23.24,23.25,-0.68,21.94,39519,12.39,0.4,0.61,0.656,0,H,H,H,H,H,A,H,H,H,H,H,A,A,A,B,B,B,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,H,H,A,H,H,-,A,H,H,H,H,H,H,B,H,-,H,H,H,H,A,A,A,H,B,B,B,B,A,B,B,B,B,H,A,A,A,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,A,A,A,B,B,B,H,B,B,B,A,H,H,B,H,H,B,B,H,B,B,B,H,A,A,A,A,A,H,H,H,B,B,A,A
93,1,0,22.9,22.91,22.74,-2.95,10.54,30686,12.94,0.8,1.33,0.602,0,H,A,H,A,H,H,H,H,H,H,B,H,B,B,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,-,H,H,A,A,A,H,H,H,A,A,A,A,A,A,-,B,B,B,A,A,A,H,H,H,B,H,H,B,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,B,B,A,A,A,B,A,-,A,A,A,B,B,B,A,H,A,A
94,1,0,23.67,23.48,23.86,1.55,6.07,20595,20.6,1.12,1.12,1,3,H,H,H,B,B,H,H,H,H,H,H,H,H,A,A,A,A,B,B,B,B,B,B,B,H,H,H,H,H,A,A,A,-,H,H,H,H,H,B,B,B,-,H,A,H,A,-,A,A,A,A,A,H,H,H,H,B,B,H,H,H,H,H,H,H,A,A,A,A,H,-,H,A,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,B,H,B,B,B,H,H,H,A,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,B,B,B,B
95,0,0,23.38,23.25,23.62,1.7,18.42,23976,10.34,0.55,1.8,0.306,0,H,H,H,H,B,H,A,A,A,A,H,A,A,H,B,B,B,B,B,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,A,A,A,A,A,H,H,-,B,H,H,H,A,B,H,B,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,B,H,H,H,H,H,H,A,B,B,H,H,H,H,H,H,A,A,H,H
96,0,0,23.1,23.12,23.02,-1.48,22.03,46240,11.61,0.99,1.21,0.818,0,H,H,H,H,H,B,B,H,H,A,A,H,A,H,H,H,H,B,B,B,B,B,B,B,B,B,H,B,H,H,H,H,H,H,H,H,H,A,H,H,H,-,H,A,A,A,-,H,H,B,B,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,-,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,H,H,H,H,A,H,H,H,H,H,B,B,-,H,H,H,H,H,H,H,H,A,A,H,H,H
97,0,0,22.78,22.78,22.86,-1.48,20.59,49016,13.5,0.69,0.78,0.885,0,B,H,-,H,H,H,H,H,B,A,A,A,H,A,H,H,H,H,B,B,B,H,H,A,A,A,A,B,H,H,B,B,B,B,B,B,B,H,H,H,H,-,H,H,H,A,B,B,H,H,H,-,H,B,H,H,B,B,B,H,H,H,H,H,B,A,H,A,A,A,-,B,H,A,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,H,H,A,A,H,H,B,A,A,H,B,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H
98,0,0,22.62,22.9,22.72,-2.5,14.19,22826,12.82,0.64,0.88,0.727,0,H,H,H,H,B,H,H,H,H,B,H,B,B,B,B,B,H,H,H,B,B,B,B,B,B,B,H,B,B,B,B,B,-,H,H,H,H,H,B,B,B,-,A,A,A,A,A,H,H,H,H,-,H,A,A,A,B,B,B,H,H,H,H,H,A,A,H,H,H,A,H,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,B,H,H,H,H,H,H,H,A,H,H,H,H,A,A,A,H,H,H,A,B,B,B,B,H,H,H,H,H,H,A,A
99,0,0,23.17,23.34,23.16,-1.25,19.13,44734,14.62,1.31,1.21,1.083,1,H,H,H,A,A,H,-,H,H,H,B,A,A,A,H,H,H,B,B,B,B,B,B,B,B,B,H,B,H,H,H,H,-,A,A,H,H,A,A,B,B,-,H,B,B,H,H,H,H,A,A,A,A,B,B,B,A,A,A,A,H,H,H,B,B,B,H,B,B,B,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,H,B,H,H,H,H,H,A,A,A,B,H,H,H,H,H,B,B,A,A,H,H,B,B,B,B,H,H,H,A
100,0,0,22.5,22.52,22.29,-4.32,10.34,24597,12.66,1.09,1.37,0.796,1,A,A,A,H,H,H,H,A,A,H,B,H,B,B,H,H,H,B,B,B,B,B,B,H,H,A,A,A,A,B,B,B,B,B,B,H,H,H,A,H,H,-,H,H,A,A,A,H,H,H,H,-,H,H,H,H,B,B,H,H,B,B,B,B,B,B,B,B,B,H,B,H,H,A,A,A,A,A,A,A,A,A,H,H,H,B,B,B,B,H,H,H,H,H,H,H,A,H,H,A,A,H,B,H,H,H,H,A,A,B,A,A,A,B,B,B,H,H,H,H,A,A,A,A,A
101,0,0,23.27,23.37,23.48,-1.25,6.28,36898,19.14,1,1.69,0.592,2,A,A,A,A,B,B,H,H,H,B,H,B,H,A,A,A,H,A,A,A,A,A,H,H,H,A,A,A,H,H,H,H,-,B,B,B,H,H,A,H,A,-,H,H,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,B,B,B,B,B,H,H,A,A,A,A,H,H,H,A,B,H,H,H,H,H,H,H,H,H,H,B,A,A,A,A
102,0,0,23.27,23.3,23.15,-1.48,16.21,34671,14.64,0.39,1.03,0.379,0,B,H,H,H,H,H,H,B,H,H,H,H,B,B,H,H,H,H,A,H,H,A,H,H,H,H,B,B,B,H,H,H,-,A,A,A,A,H,A,B,B,-,H,A,A,A,A,A,H,A,H,-,H,H,H,H,A,A,A,A,H,H,H,H,B,B,H,H,B,B,B,B,B,A,A,A,H,A,H,H,H,-,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,H,B,H,A,A,A,H,H,H,H,A,A,B,B,B,B,H,H,H,H,A,A,A,A,A,A
103,1,0,23.2,23.24,23.43,0,10.18,19284,15.16,0.5,0.6,0.833,0,B,H,B,A,A,H,H,H,H,H,B,B,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H,H,H,H,B,H,B,B,-,H,A,A,A,H,H,H,H,H,H,H,H,A,A,A,A,A,H,B,B,B,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,B,H,B,A,A,A,B,H,H,H,H,H,B,H,H,H,B,A,A,A,A,A,A,H,H,A,A,A,A
104,1,0,23.63,23.63,23.7,-5.23,11.06,26798,10.89,0.62,0.47,1.319,1,H,A,H,H,B,H,A,A,A,A,H,H,A,H,H,A,A,A,A,A,A,A,A,A,A,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,-,A,A,A,B,B,A,A,A,A,A,A,A,A,A,B,B,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,A,A,A,A,A,H,H,H,H,A,A,H,A,A,A,B,B,H,H,H,H,H,H,H,H,H,H,A,B,B,B
105,1,0,23.27,23.25,23.4,-0.45,17.4,27812,10.82,0.31,1.34,0.231,0,H,B,H,H,H,H,H,H,B,B,H,H,H,H,B,B,B,A,A,A,A,A,A,A,A,H,B,H,H,H,H,H,H,H,H,A,H,A,A,A,A,-,B,B,H,H,B,H,H,H,H,-,H,H,H,A,A,H,A,A,A,A,A,H,H,H,B,B,H,B,H,A,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,H,H,H,H,H,H,H,H,H,H,B,H,A,A,A,A,H,B,H,H,H,H,H,B,B,B,B,B,B,B,B,A,H,A,A
106,0,0,23.5,23.47,23.52,0.45,23.48,37576,10.72,0.54,0.55,0.982,0,A,A,A,H,B,B,B,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,A,A,A,A,-,H,H,H,A,A,H,H,H,H,-,H,H,H,H,B,B,H,H,A,A,A,A,A,A,A,A,-,A,B,B,B,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,A,H,A,H,H,H,H,H,H,A,B,B,B,H,H,H,B,B,B,B,B,B,B,H,H,A,H,H,H
107,0,0,23,23.07,22.88,-1.82,19.87,47579,12.36,0.54,0.7,0.771,0,A,A,A,A,H,H,H,H,H,H,B,H,A,H,A,A,A,H,H,B,B,B,B,B,H,H,A,H,H,H,H,H,-,A,A,A,A,B,B,B,H,-,B,B,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,B,H,H,H,H,H,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,A,A,A,H,H,A,A,H,A,H,B,H,H,H,H,H,H,B,B,A,A,H,H,A,A,A,A,A,H,H,H,A,A,A,A
108,1,0,-,23.76,24.04,0.91,14.09,47005,17.77,0.61,1.11,0.55,2,B,H,H,H,H,B,A,A,A,A,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,-,B,B,B,B,A,H,H,H,-,A,H,B,B,B,B,H,B,B,-,H,H,H,H,A,A,A,H,B,B,B,B,B,B,B,B,B,A,A,H,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,H,H,B,H,H,H,H,A,A,A,A,A,A,H,H,H,H,H,H,-,B,B,A,B,B,B
109,1,0,23.53,23.47,23.49,-0.61,9.62,35540,12.75,0.75,0.47,1.596,0,-,H,H,A,A,H,H,A,A,H,H,A,A,H,H,B,B,H,H,A,A,A,A,A,A,H,H,B,B,B,B,B,B,B,H,H,H,B,H,H,H,-,A,B,B,B,B,B,H,H,H,-,B,B,B,B,A,A,A,A,H,H,H,A,A,A,H,A,A,B,H,H,H,H,H,A,A,A,A,A,A,A,H,H,H,B,B,B,B,A,A,-,A,A,A,A,A,A,A,B,B,H,H,A,A,H,A,A,A,A,A,A,A,H,-,B,B,B,B,B,B,B,A,A,A
110,1,0,23.73,23.64,23.54,-0.45,10.85,31129,11.83,1.08,1.8,0.6,0,-,B,H,H,H,H,H,B,B,H,-,B,H,H,A,-,-,B,B,B,B,B,B,B,H,H,H,B,H,H,H,H,-,A,A,A,A,-,H,-,-,-,A,-,H,H,H,H,H,-,H,-,H,H,H,H,-,A,A,H,H,H,H,H,A,-,H,H,H,H,A,H,A,B,B,B,B,H,H,-,H,H,H,H,H,H,H,H,H,H,-,-,H,-,-,H,H,H,A,H,B,-,H,H,H,H,B,B,B,H,H,H,H,B,B,B,B,H,-,H,A,A,B,B,B
111,1,0,23.02,23.08,22.87,-2.05,13.95,15871,13.21,0.51,1.16,0.44,0,A,B,A,B,H,H,A,A,A,H,H,A,H,H,H,H,H,B,B,B,B,B,B,H,H,A,H,B,B,B,B,B,B,B,B,B,B,H,H,H,A,-,H,H,H,H,B,A,A,A,A,A,A,A,H,H,-,H,B,B,H,H,H,H,A,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,B,B,B,A,H,H,H,H,H,A,A,A,H,H,H,H,A,H,H,H,H,H,A,H,H,H,H,H,H,B,B,B,A,A,A
112,1,0,22.75,22.85,22.75,-3.41,8.17,39552,12.6,1.17,0.33,3.545,1,H,A,H,A,A,H,H,A,H,H,H,A,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,A,A,H,H,H,H,H,H,H,H,-,A,H,-,-,H,H,H,H,H,B,H,H,H,-,H,H,H,H,B,B,B,H,B,H,-,H,H,H,B,H,B,H,H,H,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,B,B,B,B,H,H,H,B,H,B,H,B,H,H,H,B,H,B,B,A,B,B,H,A,H,H,H,H,H,H,H,H,A,B,B,A
113,1,0,23.25,23.25,23.05,-2.61,13.04,30994,12.27,1,1.05,0.952,0,H,H,H,H,H,H,H,H,A,A,H,A,A,H,H,H,H,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,-,B,A,-,-,H,B,B,B,B,H,H,H,H,-,H,A,A,A,H,H,H,H,B,H,A,A,A,A,H,A,H,B,H,H,H,A,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,H,H,B,H,A,A,A,A,A,A,A,H,A,A,A,H,A,A,B,B,H,H,H,H,H,A,H,A,A,A,A,A,A,A
114,0,0,23.97,23.42,23.58,-1.14,5.26,38820,18.62,4.5,2.23,2.018,5,H,H,H,H,H,H,A,H,H,H,A,B,-,H,-,H,H,H,H,H,H,H,A,A,A,H,B,H,A,A,A,A,A,A,A,A,A,B,B,A,H,-,H,H,H,B,H,H,B,H,B,-,H,H,H,H,H,B,B,B,H,H,H,H,A,A,H,A,H,H,A,A,H,B,B,B,B,B,-,B,B,B,B,B,B,H,H,H,H,H,H,-,B,H,H,H,H,H,H,H,A,H,B,B,B,H,H,A,A,B,H,H,H,B,B,B,B,B,B,B,B,A,H,H,A
115,0,0,23.55,23.57,23.56,0,12.29,37471,16.85,0.35,1.5,0.233,0,B,H,B,H,A,H,H,H,A,A,H,A,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,A,A,H,H,H,H,-,H,H,A,A,H,H,A,H,H,-,H,H,H,H,A,H,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,B,B,B,H,H,A,A,A,A,H,H,H,H,H,A,A,B,H,H,B,H,H,A,B,B,B,H,H,H,H,H,A,A,A,A
116,0,0,22.87,22.83,22.89,-0.68,17.34,31745,13.35,1.08,1.02,1.059,0,B,B,B,B,H,H,H,A,A,B,H,H,H,H,H,H,H,H,H,H,A,A,A,H,B,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,H,-,H,H,H,H,H,B,H,H,A,A,A,A,A,A,H,H,H,H,B,B,B,H,H,H,B,H,H,B,H,H,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,B,H,H,B,B,H,B,B,B,H,B,H,B,A,A,H,H,H,H,H,H,H,H,H,H
117,1,0,23.58,23.47,23.52,-0.45,14.32,22530,9.29,0.6,0.53,1.132,0,H,B,A,H,A,H,H,H,H,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,-,H,H,H,H,H,B,H,B,B,-,B,A,A,A,A,-,H,-,H,A,A,A,A,A,A,A,A,A,H,H,H,B,B,B,B,H,H,H,H,A,A,A,A,A,A,A,A,H,H,H,H,A,A,A,A,A,A,H,H,A,A,A,A,A,H,B,B,B,H,H,H,A,A,H,H,H,B,B,B,A,A,A,A
118,1,0,23.73,23.69,23.72,-1.36,19.51,36579,11.21,0.59,0.83,0.711,0,H,B,B,H,H,H,H,H,H,B,B,A,H,H,H,H,H,H,A,A,A,H,H,H,H,A,A,H,H,A,A,A,A,A,A,A,A,H,A,H,H,-,H,B,H,A,H,H,H,H,B,-,H,H,H,H,B,B,H,H,B,B,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,A,H,H,H,H,H,H,H,H,H,B,H,B,B,H,H,A,H,H,A,A,A,A,H,B,B,B,B,B,B,H,H,B,B,B,B
119,1,0,23.48,23.48,23.43,-0.68,14.66,26067,14.53,0.34,0.79,0.43,0,H,H,H,B,B,B,B,H,H,A,A,A,-,A,-,A,H,H,A,A,A,A,A,H,H,H,H,H,B,B,B,B,-,H,H,A,A,H,H,H,H,-,H,A,A,A,A,H,H,B,B,-,B,B,B,B,A,H,H,H,A,A,A,-,H,H,H,H,H,B,H,B,B,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,H,A,H,A,A,H,H,H,H,A,A,H,H,-,A,B,A,A,A,A,A,A,A,A,A,B,B,A
120,0,0,23.82,23.76,23.53,-0.34,9.64,41264,14.95,1.35,1.8,0.75,2,B,H,B,A,A,H,A,A,H,B,B,B,B,H,H,A,A,B,B,B,B,B,B,H,H,A,A,B,B,B,B,H,H,H,B,H,B,H,H,H,H,-,H,H,B,B,B,H,H,A,H,-,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,H,H,H,A,H,H,H,B,B,H,H,H,H,H,H,H
121,0,0,23.35,23.27,23.23,0,7.44,48363,18.5,0.68,1.62,0.42,2,H,H,H,H,H,H,H,B,B,H,A,H,-,A,-,H,H,A,A,H,H,H,H,H,H,B,B,A,B,B,B,B,B,B,B,H,H,H,H,B,B,-,H,H,H,B,B,B,H,B,H,-,H,H,H,A,A,A,A,A,H,H,H,H,H,B,H,B,B,B,H,H,A,A,A,A,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,A,A,A,A,A,A,H,B,B,H,H,A,A,H,B,B,B,H,H,H,B,B,B,B,H,H,H,H,A,H,H,H
122,0,0,22.83,22.91,22.76,-0.57,16.39,40448,11.96,1.17,0.96,1.219,1,H,H,H,H,H,H,H,H,A,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,B,B,B,-,H,H,H,H,H,H,H,A,-,H,H,H,A,A,H,H,H,H,-,H,H,H,H,A,A,A,A,H,H,H,H,H,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,B,B,H,B,H,H,A,A,H,H,-,A,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,H,A,A,A
123,1,0,23.88,23.89,23.93,0,0.58,349,11.35,0.88,2.22,0.396,0,H,A,A,H,A,H,H,H,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,-,H,B,B,B,B,B,H,B,B,-,B,B,B,B,H,H,H,A,B,B,B,B,B,H,H,H,H,B,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,B,B,B,H,B,B,H,H,A,H,H,H,H,H,H,B,H,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A
124,1,0,23.52,23.68,23.54,-8.18,8.36,37062,14.41,1.56,1.14,1.368,3,B,H,B,H,H,H,H,B,B,H,H,H,H,A,A,A,-,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,-,H,H,H,H,B,H,H,H,-,H,A,A,H,H,H,H,B,B,-,B,B,B,B,A,A,H,H,B,H,H,H,H,H,H,H,H,B,-,H,H,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,B,H,A,A,A,A,A,A,A,A,H,A,H,A,A,H,H,H,H,H,B,B,B,A,H,H,H,H,H,H,H,H,A,A,A,A
125,1,0,23.15,22.97,23.2,0.34,4.86,39528,16.8,1.41,1.16,1.216,4,B,H,B,H,H,H,B,H,H,H,H,A,B,B,B,H,H,H,H,H,H,H,H,A,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,A,-,B,H,A,H,B,A,A,A,B,-,B,B,B,B,H,H,H,H,H,H,H,A,A,A,A,A,A,B,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,A,A,A,A,H,B,B,B,B,B,B,H,A,A,A,-,H,A,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,A,A,A
